Year of Unloading,Month of Unloading,Date of Unloading,Commodity,Sub Commodity,Load Country,Load Port,Unload Country,Unload Port,Consignor,Consignee, Quantity , Quantity Unit ,Mode,Country,State/City,Company Name,Grade,Size,Prices
2014,January,1/1/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,SM Niryat,-," 54,485 ",MT,Export,India,-,-,-,-,-
2014,January,1/2/2014,Iron Ore,Fines/Lumps,India,Vishakhapatnam,China,-,Royal Line Resources,-," 58,400 ",MT,Export,India,-,-,-,-,-
2014,January,1/2/2014,Iron Ore,Fines/Lumps,India,Vishakhapatnam,Japan,-,NMDC,-," 76,644 ",MT,Export,India,-,-,-,-,-
2014,January,1/3/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Kashvi Power & Steel,-," 55,076 ",MT,Export,India,-,-,-,-,-
2014,January,1/4/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Kalinga Allied Industries,-," 44,100 ",MT,Export,India,-,-,-,-,-
2014,January,1/5/2014,Iron Ore,Fines/Lumps,India,Kakinada,China,-,Rungta Mines,-," 60,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/6/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Kalinga Allied Industries,-," 36,600 ",MT,Export,India,-,-,-,-,-
2014,January,1/8/2014,Iron Ore,Fines/Lumps,India,Redi,China,-,Samruddha,-," 51,600 ",MT,Export,India,-,-,-,-,-
2014,January,1/8/2014,Iron Ore,Fines/Lumps,India,Haldia,China,-,Rungta Mines,-," 20,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/8/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Kashvi Power & Steel,-," 56,363 ",MT,Export,India,-,-,-,-,-
2014,January,1/8/2014,Iron Ore,Pellet/Concentrate,India,Paradeep,China,-,Essar Steel India,-," 21,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/9/2014,Iron Ore,Fines/Lumps,India,Dhamra,China,-,Bagadiya Brothers,-," 72,582 ",MT,Export,India,-,-,-,-,-
2014,January,1/10/2014,Iron Ore,Fines/Lumps,India,Vishakhapatnam,Japan,-,NMDC,-," 78,210 ",MT,Export,India,-,-,-,-,-
2014,January,1/11/2014,Iron Ore,Fines/Lumps,India,Redi,China,-,Samruddha,-," 56,500 ",MT,Export,India,-,-,-,-,-
2014,January,1/11/2014,Iron Ore,Fines/Lumps,India,Vishakhapatnam,China,-,Rungta Mines,-," 33,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/12/2014,Iron Ore,Fines/Lumps,India,Vishakhapatnam,China,-,Sparsh Baldev,-," 19,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/13/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,LG Minerals,-," 51,492 ",MT,Export,India,-,-,-,-,-
2014,January,1/15/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Rungta Mines,-," 56,000 ",MT,Export,India,-,-,-,-,-
2014,January,1/17/2014,Iron Ore,Fines/Lumps,India,Paradeep,China,-,Maa Samelaswari,-," 20,000 ",MT,Export,India,-,-,-,-,-
