Year,Week,"Import (in MT)","Export (in MT)","Production (In MT)","Prices Fob India (Fines) (in USD/MT)","Prices Fob India (Pellet) (in USD/MT)","Prices CNF India (Lumps) (in USD/MT)","Prices CNF India (Pellet) (in USD/MT)","Prices Domestic (Fines) (in INR/MT)","Prices Domestic (Lumps) (in INR/MT)","Prices Domestic (Pellet) (in INR/MT)"
2019,13,54700,375780,4875000,83.8,104,115,118,2700,5500,5300
2019,12,234558,311220,4875000,86,104,109,124,2700,5500,5300
2019,11,0,217810,4875000,86,106,109,121,2700,5500,5550
2019,10,0,380130,4875000,84.8,109,109.6,123,3000,5800,5900
2019,9,0,56300,4750000,82.6,111,110,130,3000,5800,6000
2019,8,490162,35000,4750000,84.6,111,110,128,3000,5800,6200
2019,7,169612,76600,4750000,85,112,110,132,2800,5800,6150
2019,6,0,159080,4750000,83,114,95,124,2400,5100,5200
2019,5,0,117610,3644000,76.6,104,95,120,2400,5100,5000
2019,4,0,145809,3644000,70.6,98,95.2,115,2400,5100,5000
2019,3,0,91000,3644000,69.8,101,96,117,2400,5100,4850
2019,2,0,206100,3644000,69.4,102,96,117,3250,6100,5100
2019,1,187884,78150,3644000,67.5,102,96,118,3250,6100,5400
2018,52,0,54000,3800000,66.75,100,96,117,3250,6100,5600
2018,51,169000,259290,3800000,65.8,100,95.4,118,3250,6100,5950
2018,50,175000,55000,3800000,62.6,99,88.8,117,3250,6100,6000
2018,49,537660,21300,3800000,61.6,99,87.8,113,3250,6100,6150
2018,48,582396,244200,3800000,61.4,102,88.6,114,3500,6100,6837.5
2018,47,117342,180600,5000000,68.2,106,99,123,3750,6600,7050
2018,46,546978,322500,5000000,69.6,110,102,142,3750,6600,7050
2018,45,167810,199730,5000000,69,119.5,102,144.5,3750,6600,7500
2018,44,274498,130000,5000000,68,126,102,146,3750,6600,7500
2018,43,246967,392000,4327500,68.6,128.5,100.2,150,3750,6600,7866.66666666666
2018,42,107500,293900,4327500,66.5,132,93,155,3750,6600,8000
2018,41,655143,151100,4327500,65,138,92.8,157,3750,6600,8000
2018,40,90938,207990,4327500,64,138,93,157,3750,6600,8000
2018,39,143290,503170,3317500,63,141,93,157,3750,6600,8333.33333333333
2018,38,189600,336700,3317500,64,141,93,157,3750,6600,8550
2018,37,357764,349600,3317500,63.4,141,93,157,3750,6600,8650
2018,36,362100,347000,3317500,61.6,143,93,159,3583.33333333333,6433.33333333333,8183.33333333333
2018,35,112920,106700,3207500,59.8,138,93,151,3250,6100,7500
2018,34,318158,255000,3207500,60.8,137,93,152,3250,6100,6900
2018,33,505022,41090,3207500,62,135,93,144,3250,6100,6700
2018,32,60670,0,3207500,63.6,119.5,92.8,139,3250,6100,6500
2018,31,557369,105810,2603200,61.6,113,91.6,130,3250,6100,6500
2018,30,346433,164110,2603200,59.8,112,89,129,3250,6100,6500
